200,ACES Transfer Orientation,0 hours.,Introduction to College of ACES and campus resources for students new to the College of ACES. Required of all off campus transfer students and optional for Inter College Transfer students. First eight weeks course. Approved for S/U grading only.,,ACES,"Agricultural, Consumer and Environmental Sciences"
231,Calculus II,3 hours.,"Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Prerequisite: MATH 220 or MATH 221.",Quantitative Reasoning I course.,MATH,Mathematics
467,Ethics and Policy for Data Science,3 OR 4 hours.,"The course will address common ethical challenges related to data including privacy, bias, and data access. These challenges will be explored through real-world cases of corporate settings, non-profits, governments, academic research, and healthcare. The course emphasizes the complexity of ethical decision-making and that trade-offs between priorities are often necessary. The course also considers how the burdens of addressing ethical concerns should be distributed among stakeholders. Students will be introduced to a range of relevant policy responses at the organizational, institutional, governmental,and supranational levels. 3 undergraduate hours. 4 graduate hours.",,IS,Information Sciences
576,Doctoral Projects,0 TO 16 hours.,"Special projects for candidates for the Doctor of Musical Arts degree. Open only to students in the Doctor of Musical Arts program. Approved for S/U grading only. May be repeated. (Summer session, 0 to 8 graduate hours). Prerequisite: Consent of instructor.",,MUS,Music
390,Individual Study,1 TO 3 hours.,Individual investigation of special problems. May be repeated to a maximum of 6 hours. Prerequisite: Twelve hours of communication coursework; a grade-point average of 3.25; and consent of head of department.,,CMN,Communication
299,Study Abroad,0 TO 18 hours.,"Lectures, seminars, and practical work in German language, literature, civilization, and in other academic areas appropriate to the student's course of study. Approved for letter and S/U grading. May be repeated in the same term to a maximum of 18 hours; may be repeated in separate terms to a maximum of 36 hours. Prerequisite: GER 104 or equivalent; 2.75 overall average; 3.0 average in German courses.",,GER,German
415,Biomedical Instrumentation Lab,2 hours.,Same as BIOE 415. See BIOE 415.,,ECE,Electrical and Computer Engineering
311,Humanity in the Food Web,3 hours.,"The human food web is the complex network of technologies, environments, people, and social institutions that produces, processes, and distributes the world's food supply. Students will study the food webs of the past, present, and future and will explore various human roles, including their own, in the global technology-environment-society-food system. Course topics include domestication, mechanization, urbanization, the green revolution, biotechnology, food safety, the environment, and appropriate technologies for developing countries. Additional fees may apply. See Class Schedule.","Advanced Composition, and Humanities - Hist & Phil course.",ETMA,Engineering Technology and Management for Agricultural Systems
471,Instructional Strategies and Techniques for Information Professionals,2 TO 4 hours.,"Provides an introduction to learning theories and instructional methods used in a variety of information settings, including libraries, archives, museums, online, and educational environments. Includes an overview of theoretical and applied research and discusses relevant issues and concepts. Students will have an opportunity to design and present an instructional program. 3 undergraduate hours. 2 or 4 graduate hours.",,IS,Information Sciences
293,International Internship,0 TO 5 hours.,Supervised learning experience designed for ACES students registering for an academic term abroad and/or for non-degree exchange students enrolling for an academic term at Illinois. The nature of the experience and the setting in which it takes place must be approved in advance by ACES faculty and by representative(s) of institutions/organizations/agencies that cooperate with the College of ACES in student exchange/study abroad programs. 0 to 3 undergraduate hours. Approved for both letter and S/U grading. May be repeated to a maximum of 10 hours.(Summer Session). Prerequisite: Written consent of ACES Study Abroad Office.,,ACES,"Agricultural, Consumer and Environmental Sciences"
301,Introduction to Law,3 hours.,"Guides the undergraduate student in an initial study of law and legal reasoning. Covers the nature and function of rules/law, the distinctiveness of legal reasoning, and the way in which law responds to social phenomena and contributes to the development of different social, business and economic institutions. Includes both criminal and civil proceedings. Serves as a general foundation course for those interested in applying to law school. Also of interest to students who are not interested in pursuing a more formal law education, but for whom general legal training will enhance their career aspirations. Develops skills that are transferable to virtually any career.",Humanities - Hist & Phil course.,LAW,Law
599,Thesis Research,0 TO 16 hours.,Research in special projects. Approved for S/U grading only. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,,MUS,Music
320,German for Business,3 hours.,"Introduces German business language as used in basic operations in retail/wholesale, export/import, banking transactions. Prerequisite: GER 211 or consent of instructor.",,GER,German
396,Special Topics in Comm,3 hours.,Special topics in communication not treated in regularly scheduled courses. See Class Schedule for current topics. May be repeated as topics vary.,,CMN,Communication
270,Design for Manufacturability,3 hours.,Same as ME 270. See ME 270.,,TAM,Theoretical and Applied Mechanics
295,Undergrad Research or Thesis,1 TO 4 hours.,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Students may register in more than one section per term. Prerequisite: GPA of 3.0 or above at the time the activity is arranged, and consent of instructor.",,ACES,"Agricultural, Consumer and Environmental Sciences"
477,"Data Management, Curation & Reproducibility",3 OR 4 hours.,"Addresses issues in Data Management, Curation & Reproducibility from a Data Science perspective. We discuss definitions of data science, and then introduce and use the Data Science Life Cycle as an intellectual foundation. Topics include Research Artifact Identification and Management, Metadata, Repositories, Economics of Artifact Preservation and Sustainability, and Data Management Plans. We use the case study to ground our discussions in both data sets and in specific data science research. This course requires a final project that applies course knowledge to a data science experiment and creates a data management plan for that experiment. 3 undergraduate hours. 4 graduate hours. Prerequisite: IS 205 or STAT 207 or equivalent programming experience.",,IS,Information Sciences
385,Politics of the European Union,3 hours.,"Same as EURO 385, FR 385, and PS 385. See PS 385.",,GER,German
101,Piano,2 TO 4 hours.,Instruction in piano at the undergraduate level. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
352,Land and Water Mgt Systems,3 hours.,"Principles of planning, implementing and utilizing land and water practices for Illinois land uses, especially agriculture. Includes laboratory. Prerequisite: Completion of Quantitative Reasoning requirement.",,ETMA,Engineering Technology and Management for Agricultural Systems
150,Introduction to Drawing,2 hours.,This is an introductory drawing course with an emphasis on heightening visual awareness and utilizing basic elements of technique and concept. Media such as pencil and charcoal will be used through a variety of technical and conceptual exercises. This course is designed for students who have little to no prior experience with drawing. Approved for Letter and S/U grading. May be repeated in separate terms up to 4 hours. Prerequisite: Enrollment is restricted to students of Living Learning Communities and minors in Art + Design.,,ART,Art
298,International Experience,1 TO 9 hours.,"International experience in agricultural, consumer and environmental sciences related areas involving foreign travel and study without enrollment in another institution. Experience must be planned and approved in advance through consultation with a College of Agricultural, Consumer and Environmental Sciences faculty member. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated to a maximum of 9 hours in separate semesters. Not open to students on probation. Prerequisite: Written consent of ACES Study Abroad Office.",,ACES,"Agricultural, Consumer and Environmental Sciences"
212,University Physics: Elec & Mag,4 hours.,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.","Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",PHYS,Physics
417,Multimedia Signal Processing,4 hours.,"Characteristics of speech and image signals; important analysis and synthesis tools for multimedia signal processing including subspace methods, Bayesian networks, hidden Markov models, and factor graphs; applications to biometrics (person identification), human-computer interaction (face and gesture recognition and synthesis), and audio-visual databases (indexing and retrieval). Emphasis on a set of MATLAB machine problems providing hands-on experience. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE 310 or ECE 401; one of ECE 313, CS361, or STAT 400.",,ECE,Electrical and Computer Engineering
403,German-English Translation: Theory & Practice,3 hours.,"Theory and practice of translating technical, commercial, scientific, and literary texts from German into English and vice versa. Same as TRST 403. 3 undergraduate hours. 3 graduate hours. Prerequisite: GER 401 or consent of instructor.",,GER,German
491,Topics in Information Services,2 TO 4 hours.,"Variety of newly developed and current topics courses within the field of information services, intended to augment the existing Information Sciences curricula. 3 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",,IS,Information Sciences
371,Residential Housing Design,3 hours.,"Principles and practices in residential housing; space planning, house types, structures, materials, utilities, environmental control, energy conservation, remodeling, and economic influences. Includes laboratory.",,ETMA,Engineering Technology and Management for Agricultural Systems
460,Principles of Language Testing,3 OR 4 hours.,"Same as EIL 460, EPSY 487, FR 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",,GER,German
156,Ceramics: Wheel Throwing,2 hours.,"Introduces the techniques of making functional ceramic work on the pottery wheel including: centering, opening, throwing a cylinder, making bowl and plate forms, and making handles. Class time will focus on demonstrations of techniques and instructor led skills development of same by students. Students will also learn about materials and chemistry in the production and application of glazes. Students will examine the work of contemporary ceramic artists towards developing a vocabulary for the assessment and critique of their own works as well as their peers. Weekly studio contact time 3.75 hours. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 4 hours.",,ART,Art
423,Rhetorical Criticism,3 OR 4 hours.,Methods of interpreting and judging persuasive discourse with emphasis on political speaking and writing; extensive practice in criticism of rhetorical texts. 3 undergraduate hours. 4 graduate hours.,,CMN,Communication
420,Embedded DSP Laboratory,2 hours.,"Development of real-time digital signal processing (DSP) systems using a DSP microprocessor; several structured laboratory exercises, such as sampling and digital filtering; followed by an extensive DSP project of the student's choice. 2 undergraduate hours. 2 graduate hours. Prerequisite: ECE 310.",,ECE,Electrical and Computer Engineering
493,"Topics in Cultural Heritage, Collection Management & Preservation",2 TO 4 hours.,"Variety of newly developed and current topics courses within the field of information cultural heritage, collection management and preservation, intended to augment the existing Information Sciences curricula. 3 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",,IS,Information Sciences
372,Environ Control & HVAC Systems,3 hours.,"Introduction to heating, ventilating, and air-conditioning (HVAC) systems for building environment control. Topics include: psychrometrics, basic calculation of heating and cooling loads, human comfort and ventilation requirements, typical HVAC and control systems.",,ETMA,Engineering Technology and Management for Agricultural Systems
299,ACES Study Abroad,0 TO 18 hours.,"Provides campus credit in the College of Agricultural, Consumer and Environmental Sciences for study at accredited foreign institutions. Final determination of credit granted is made upon the student's successful completion of work. Approved for Letter and S/U grading. May be repeated to a maximum of 36 hours within one calendar year. 0 to 8 undergraduate hours in Summer session. Prerequisite: Consent of major department, college, and Study Abroad Office.",,ACES,"Agricultural, Consumer and Environmental Sciences"
160,The Image World: Photography for Non-Majors,3 hours.,"Explores photography and video as the most powerful media in today's image-saturated world. Students will look at, think about, discuss, and write about a diverse array of photography and video. They will study examples of historical and contemporary art, design, journalism and advertising, in various and numerous contexts. Students will make their own images, create their own videos, conduct visual research, and produce media-based projects. Students will also build their own individual social media sites for sharing their work with both their classmates and the world. Additional fees may apply. See Class Schedule. Credit is not given for ART 160 if credit for ARTD 160 has been earned. Prerequisite: For non-majors and Art & Design Minors.",,ART,Art
473,1920s to Today,3 hours.,"Literary, thematic, cultural, and bibliographical analysis of the major authors, works, genres, and movements in German literature from 1920 to the present. 3 undergraduate hours. 3 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 6 graduate hours if topic varies.",,GER,German
396,UG Honors Research or Thesis,1 TO 4 hours.,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. May be repeated if topics vary up to 6 hours in the same semesters, to a maximum of 12 hours in separate semesters. Prerequisite: Junior standing, admission to the ACES Honors Program, and consent of instructor.",,ETMA,Engineering Technology and Management for Agricultural Systems
432,Gender Communication,3 OR 4 hours.,"Study of interactive relationships between gender and communication in contemporary American society. Examines how gender identity and expression are influenced by race, ethnicity, culture, age, ability, class, faith and other social characteristics. Explores how communication in social contexts creates and perpetuates gender roles. Same as GWS 432. 3 undergraduate hours. 4 graduate hours.",,CMN,Communication
102,Harpsichord,2 TO 4 hours.,Instruction in harpsichord at the undergraduate level. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
494,"Topics in Management, Ethics & Policy",2 TO 4 hours.,"Variety of newly developed and current topics courses within the field of management ethics and policy, intended to augment the existing Information Sciences curricula. 3 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",,IS,Information Sciences
396,Honors Study Abroad Retrospect,1 OR 2 hours.,"Provides James Scholars with an opportunity to earn honors credit based on a full-term international experience in a university approved study abroad program completed during the academic term preceding enrollment in this course. Students complete an honors assignment related to the experience, approved by the instructor in a Memorandum of Understanding. Students need to earn a grade of at least B- on the honors assignment in order to earn honors credit. No more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward a degree. Credit in this course may serve as only one of the honors course needed to meet James Scholar's Honors Requirements. Prerequisite: Consent of instructor. An approved MOU is required prior to enrollment. Current enrollment in the James Scholar Honors Program is required.",,ACES,"Agricultural, Consumer and Environmental Sciences"
306,The Operation of the American Criminal Justice System,3 hours.,"Guides undergraduates to a deeper understanding of the operation of the justice system through bi-weekly field trips to see court proceedings paired with in-class discussions on the alternate weeks. Focusing on criminal law, students learn how the state and federal systems differ; how law enforcement personnel, investigators, judges, attorneys, and other legal professionals serve the system; and how cases are processed. Students will also explore a variety of controversies that have plagued the justice system through the years.","Camp Honors/Chanc Schol, and Social & Beh Sci - Soc Sci course.",LAW,Law
191,Unit One Studio/Seminar,1 TO 3 hours.,Topics vary; consult Unit One office. Approved for Letter and S/U grading. May be repeated if topics vary.,,ART,Art
489,Theoretical Foundations of SLA,3 OR 4 hours.,"Same as FR 481, ITAL 489, LING 489, PORT 489, and SPAN 489. See LING 489.",,GER,German
422,Industrial and Agricultural Occupational Illness Prevention,3 hours.,Overview of occupational illnesses and diseases in general industry and agricultural as well as associated practices. Occupational health hazards within agricultural production and general industry are examined. Potential hazards to non-farm populations and those interacting with production personnel are also explored. Industry practices are summarized with a special focus on the agricultural industry. Potential human health effects of specific practices identified. Specific preventative measures are outlined to reduce exposures and remediate exposure symptoms. Interaction with health/medical professionals is on-going during the semester to familiarize students with medical procedures pertinent to agricultural and occupational medicine. 3 undergraduate hours. 3 graduate hours.,,ETMA,Engineering Technology and Management for Agricultural Systems
103,Organ,2 TO 4 hours.,Instruction in organ at the undergraduate level. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
499,LAW Study Abroad,0 TO 18 hours.,"Provides campus credit for study at accredited foreign institutions or approved overseas programs. Final determination of credit granted is made after the student's successful completion of work. No undergraduate credit. 0 to 18 graduate hours. Approved for Letter and S/U grading. Prerequisite: Full academic standing in the College of Law or Graduate College; consent of major department. Law students, successful completion of the first year's requirements.",,LAW,Law
199,Undergraduate Open Seminar,1 TO 5 hours.,Additional fees may apply. See Class Schedule. May be repeated.,,ART,Art
150,Introduction to Advertising,3 hours.,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors.",Social & Beh Sci - Soc Sci course.,ADV,Advertising
422,Computer Security I,4 hours.,Same as CS 461. See CS 461.,,ECE,Electrical and Computer Engineering
497,Topics in Data Analytics & Data Science,2 TO 4 hours.,"Variety of newly developed and topics courses within Data Analytics & Data Science, intended to augment the existing Information Sciences curricula. Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",,IS,Information Sciences
430,Project Management,2 hours.,Same as ABE 430. See ABE 430.,,ETMA,Engineering Technology and Management for Agricultural Systems
433,Communication and Culture,3 OR 4 hours.,"Studies theories and methods for identifying culture and identities in everyday talk. Addresses cultural variability in ways of speaking that depend on and produce context; negotiating interactions; and displaying, evaluating, and inferring identities (e.g., gender, ethnic, national, class, generational, peer group, regional, political). Same as ANTH 433. 3 undergraduate hours. 4 graduate hours.",,CMN,Communication
491,Honors Senior Thesis,1 TO 4 hours.,"Intended primarily for candidates for honors in German, but open to other seniors. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 4 hours. Prerequisite: Senior standing; consent of instructor.",,GER,German
201,Art in Early Childhood,2 hours.,"Philosophical and practical foundations for teaching art in early childhood settings. Lectures, discussions and class activities focus on the value of art in the curriculum, artistic development and instruction, observation and guided teaching practice. Additional fees may apply. See Class Schedule. Prerequisite: Not open to students majoring in art and design.",,ART,Art
105,Voice,2 TO 3 hours.,Instruction in voice at the undergraduate level. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
500,LLM Legal Writing and Research,2 hours.,"Designed and developed to equip incoming LL.M students with the necessary background in U.S. constitutional law, legal research, analysis, and writing for effective classroom performance. Approved for S/U grading only. Prerequisite: Admission to the U.S. LLM program.",,LAW,Law
435,Elec Computer Ctrl Sys,3 hours.,Microcomputer and electrical control applications; electrical fundamentals; solid-state devices; relays; biosensors; motor types and characteristics; three-phase power; logic devices; analog/digital convertors; and interfacing for agricultural control applications. Includes laboratory. 3 undergraduate hours. 3 graduate hours.,,ETMA,Engineering Technology and Management for Agricultural Systems
496,Special Topics German Studies,3 hours.,"Intensive study of restricted topics in German language, literature, and culture. 3 undergraduate hours. 3 graduate hours. May be repeated as topics vary to a maximum of 9 undergraduate hours or 8 graduate hours. Prerequisite: Three years of college German or equivalent.",,GER,German
594,Art & Design Graduate Teaching Assistant Pedagogy Seminar,1 hours.,"Students in this course will learn about pedagogy and related resources available on campus. Structured for students across A+D degree programs, this course will focus on broadly relevant, rather than discipline-specific, practices. Other times, it will ask students to share discipline specific knowledge with the goal of developing interdisciplinary pedagogical approaches that can be used in a range of teaching contexts. Students will always be encouraged to adapt course materials to their specific needs. 1 graduate hour. No professional credit. Approved for S/U grading only. Prerequisite: Restricted to graduate students in the Art and Design.",,ART,Art
500,Introduction to the iSchool,0 TO 2 hours.,"Introduces graduate students to the School of Information Sciences (the iSchool). Students will learn best practices for success in their program. They will also learn about resources and support provided by the School and the University while building community among their peers, faculty, staff and alumni. Various sections address different graduate student audiences and needs. 0 to 2 graduate hours. No professional credit. Approved for Letter and S/U grading.",,IS,Information Sciences
462,Interpersonal Health Comm,3 OR 4 hours.,"Examines the role of communication in the management of mental and physical health. Focuses on topics such as communication and illness identity, health and interpersonal relationships, health care provider-patient interactions, impacts of technology on health communication, and health education and prevention efforts. 3 undergraduate hours. 4 graduate hours.",,CMN,Communication
510,Introduction to Graduate Study,4 hours.,"Bibliography and methodology of the study of the Germanic languages and literatures, with particular regard to German literature and Germanic linguistics; introduction to scholarship in general and the German profession in particular, including the modes and methods of scholarly endeavor.",,GER,German
501,Reference and Information Services,4 hours.,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies. 4 graduate hours. No professional credit.",,IS,Information Sciences
438,Renewable Energy Applications,3 hours.,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Environmental consequences of energy conversion including how renewable energy can reduce air pollution and global climate change. Economics of alternative energy systems. 3 undergraduate hours. 3 graduate hours. Credit is not given for both TSM 438 and ABE 436. Prerequisite: Junior, senior, or graduate standing required.",,ETMA,Engineering Technology and Management for Agricultural Systems
297,Introductory Independent Study,1 TO 3 hours.,Independent study and/or individual projects related to engineering mechanics. Approved for Letter and S/U grading. May be repeated to a maximum of 6 credit hours for letter grade; no limit for S/U grade mode. Prerequisite: Consent of Instructor.,,TAM,Theoretical and Applied Mechanics
511,Applied Literary Translation I,4 hours.,"Same as CWL 511, EALC 511, SLAV 501, and TRST 501. See TRST 501.",,GER,German
464,Heavy Equipment Powertrains,3 hours.,"Construction, performance and maintenance of internal combustion engines, power trains, and hydraulic systems for agricultural and construction equipment; methods and equipment for performance testing; and weight transfer and traction. Includes laboratory. 3 undergraduate hours. 3 graduate hours. Credit is not given toward graduation for both ETMA 464 and ABE 466.",,ETMA,Engineering Technology and Management for Agricultural Systems
428,Distributed Systems,3 OR 4 hours.,Same as CS 425. See CS 425.,,ECE,Electrical and Computer Engineering
324,Behavior of Materials,4 hours.,Same as CEE 300. See CEE 300.,Advanced Composition course.,TAM,Theoretical and Applied Mechanics
464,Health Communication Campaigns,3 OR 4 hours.,"Focuses on the theoretical principles behind designing, implementing, and evaluating a health communication campaign. Students will be exposed to campaigns pertaining to alcohol abuse, illicit drug use, organ donation, safe sex, tobacco use, among others. The first part of the course reviews theories used in health communication campaigns, derived from the disciplines of communication, social psychology, and public health. The second part of the course focuses on designing campaigns and creating messages as well as evaluating the effects of those campaigns and messages. 3 undergraduate hours. 4 graduate hours.",,CMN,Communication
503,History of Children's Lit,2 OR 4 hours.,"Interpretation of children's literature from the earliest times, including the impact of changing social and cultural patterns on books for children; attention to early printers and publishers of children's books and to magazines for children. 2 or 4 graduate hours. No professional credit.",,IS,Information Sciences
575,20thC German Studies,4 hours.,"Seminar in selected genres, themes, or authors of the twentieth century. 4 graduate hours. No professional credit. May be repeated in separate semesters to a maximum of 12 hours if topics vary.",,GER,German
496,Independent Study,1 TO 4 hours.,"Individual research, special problems, thesis, development and/or design work under the supervision of a faculty member. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated if topics vary to a maximum of 6 hours. Prerequisite: Consent of instructor.",,ETMA,Engineering Technology and Management for Agricultural Systems
504,Sociotechnical Information Systems,4 hours.,"The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management. 4 graduate hours. No professional credit.",,IS,Information Sciences
175,Diversity in Advertising,3 hours.,"Examines the multifaceted role diversity (including racial, gender, orientation, ability status) plays in the delivery and reception of advertising. Additionally, it examines the development of diversity as a marketplace practice and on the development of the advertising industry. We'll analyze advertising using a historical, cultural, and social perspective and address issues of diversity in the industry. We will also critically review current issues of multicultural, transcultural and multidimensional advertising and marketing. In the process we�ll grapple with current theories on race and implicit /explicit bias and prejudice and their impact upon the production of advertising and consumer communications.",Cultural Studies - US Minority course.,ADV,Advertising
582,German Language Teaching,4 hours.,"In-depth exploration of fundamental concepts of teaching German at the college level; designed for Teaching Assistants. Topics include teaching approaches, lesson planning, vocabulary, grammar, listening, speaking, reading, writing, culture, assessment, instructional technology, and curriculum design. 4 graduate hours. No professional credit.",,GER,German
501,Professional Responsibility,3 OR 4 hours.,"This course concerns itself with the laws, regulations, and customs that govern the legal profession in the United States, and considers those matters in the context of an increasingly globalized legal profession. 3 or 4 graduate hours. No professional credit. Students will be expected to attend class, review the assigned reading before class, participate in class discussions and exercises, complete written assignments, and examinations.",,LAW,Law
465,Social Marketing,3 OR 4 hours.,"Social marketing offers a revolutionary approach to solving a wide range of societal problems. Social marketing applies traditional marketing principles and techniques to the challenges and rewards of influencing positive public behavior. This course is designed to give students a thorough orientation to key marketing concepts and their application to a range of communication issues with an emphasis on promoting community engagement, environmental conservation, financial literacy, health promotion, and injury prevention. Throughout the semester, attention is given to several behavior change models employed to guide current social marketing campaigns as well as a focus on the ten steps for developing, implementing, and evaluating a campaign. Students will acquire practical skills in designing a campaign as well as an appreciation for the role of behavior change models in social marketing. Same as CHLH 465. 3 undergraduate hours. 4 graduate hours.",,CMN,Communication
499,Seminar,1 TO 4 hours.,Group discussion or an experimental course on a special topic in technical systems management. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in separate terms to a maximum of 12 hours.,,ETMA,Engineering Technology and Management for Agricultural Systems
505,Information Organization and Access,4 hours.,"Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. 4 graduate hours. No professional credit.",,IS,Information Sciences
588,Sem Second Lang Learn,4 hours.,"Same as EALC 588, FR 588, ITAL 588, LING 588, PORT 588, and SPAN 588. See SPAN 588.",,GER,German
199,Undergraduate Seminar,1 to 5 hours.,"May be repeated to a maximum of 12 hours in separate semesters, if topics vary.",,ADV,Advertising
437,Sensors and Instrumentation,3 hours.,"Hands-on exposure to fundamental technology and practical application of sensors. Capacitive, inductive, optical, electromagnetic, and other sensing methods are examined. Instrumentation techniques incorporating computer control, sampling, and data collection and analysis are reviewed in the context of real-world scenarios. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 329.",,ECE,Electrical and Computer Engineering
599,Thesis Research,0 TO 16 hours.,Approved for S/U grading only.,,LAW,Law
491,Honors Individual Study,2 hours.,Individual investigation of special problems. 2 undergraduate hours. No graduate credit. May be repeated to a maximum of 4 undergraduate hours. Prerequisite: Twelve hours of communication; a grade-point average of 3.50; and consent of head of department.,,CMN,Communication
501,Graduate Research I,1 hours.,"First of a two-course sequence (with TSM 502) for graduate students in Technical Systems Management. Prepares students to perform successfully in a research environment and to develop skills in teaching. Topics to be covered include research methodology, teaching methods, lecture preparation and delivery, critical review of scientific articles, peer review and publishing, mentoring and peer relationships, time management, and intellectual property. 1 graduate hour. No professional credit.",,ETMA,Engineering Technology and Management for Agricultural Systems
201,Social Media and Personal Branding,3 hours.,"Creating a personal brand is no longer a nice-to-have; it�s expected and vital to social media influencers, student athletes and online celebrities. This course focuses on practical strategies for building and maintaining a strong personal brand on social media for career advancement and social influence. Students will develop advanced social media strategy skills and identify risks involved in online reputation management. This course will help you create an authentic personal brand and amplify your career.",,ADV,Advertising
507,"Data, Statistical Models and Information",4 hours.,"An introduction to statistical and probabilistic models as they pertain to quantifying information, assessing information quality, and principled application of information to decision making, with focus on model selection and gauging model quality. The course reviews relevant results from probability theory, parametric and non-parametric predictive models, as well as extensions of these models for unsupervised learning. Applications of statistical and probabilistic models to tasks in information management (e.g. prediction, ranking, and data reduction) are emphasized. 4 graduate hours. No professional credit. Prerequisite: Graduate standing.",,IS,Information Sciences
493,Honors Senior Thesis,2 hours.,Individual study leading to a thesis for honors in the Department of Communication. 2 undergraduate hours. No graduate credit. May be repeated to a maximum of 4 undergraduate hours. Prerequisite: Senior standing; a grade-point average of 3.50; and consent of head of department.,,CMN,Communication
586,Advanced Bioprocess Coproducts,3 hours.,"Bioprocessing of cereals and oilseeds by milling, fermentation and extraction processes in the production of a wide variety of coproducts used in animal foods. Includes the effects of the process variables and bioprocesses on coproduct quality and the post-processing of coproducts; also analysis of current literature and issues relating to coproducts. 3 graduate hours. No professional credit. Credit is not be given for both TSM 486 and 586. Prerequisite: Graduate standing or consent of instructor.",,ETMA,Engineering Technology and Management for Agricultural Systems
593,Research in Special Topics,1 TO 8 hours.,May be repeated to a maximum of 8 hours.,,GER,German
335,Introductory Fluid Mechanics,4 hours.,"Fluid statics; continuity, momentum, and energy principles via control volumes; ideal and real fluid flow; introduction to the Navier-Stokes equation; similitude; laminar and turbulent boundary layers; closed-conduit flow, open-channel flow, and turbomachinery. Credit is not given for both TAM 335 and either ME 310 or CEE 331. Prerequisite: TAM 212.",,TAM,Theoretical and Applied Mechanics
250,Advertising and Brand Strategy,3 hours.,"Designed to help students acquire brand decision-making skills. Advertising and marketing theories, practical problems and traditional cases will be studied as they learn to build a strong brand strategy that will lead to a strong brand advertising strategy. This encompasses every facet of making advertising decisions for a brand. This involves understanding the content a consumer requires, how the consumer will come in contact with the brand, and what is the goal of the connection between consumer and content/contact. Credit is not given toward graduation for ADV 250 and ADV 283.",,ADV,Advertising
438,Communication Networks,3 OR 4 hours.,Same as CS 438. See CS 438.,,ECE,Electrical and Computer Engineering
501,Intro to Health Communication,4 hours.,"Introduction to theory and research on communication in health and illness contexts, focusing on how messages from interpersonal, organizational, cultural and media sources affect health beliefs and behaviors. Some topics to be explored include: the theoretical foundations underlying differences in the ways individuals communicate about health, health campaign strategies and organizational influences on health and strategies for generating successful or beneficial health-related communication (as well as recognize problematic communicative trends).",,CMN,Communication
